"","snippet.title","stock_name","statistics.viewCount","statistics.likeCount","statistics.dislikeCount","statistics.favoriteCount","statistics.commentCount","snippet.publishedAt","snippet.channelTitle"
"1","Should I Reinvest My Dividends?","ROP","2907","330","1","0","40","2021-04-01T22:16:07Z","FASTgraphs"
"2","Should I Reinvest My Dividends?","CHD","2907","330","1","0","40","2021-04-01T22:16:07Z","FASTgraphs"
"3","Should I Reinvest My Dividends?","OHI","2907","330","1","0","40","2021-04-01T22:16:07Z","FASTgraphs"
"4","Should I Reinvest My Dividends?","NLY","2907","330","1","0","40","2021-04-01T22:16:07Z","FASTgraphs"
"5","Investors - Learn From Your Mistakes","CCL","2793","330","0","0","32","2021-03-31T17:40:02Z","FASTgraphs"
"6","Investors - Learn From Your Mistakes","MDP","2793","330","0","0","32","2021-03-31T17:40:02Z","FASTgraphs"
"7","Investors - Learn From Your Mistakes","OMI","2793","330","0","0","32","2021-03-31T17:40:02Z","FASTgraphs"
"8","Investors - Learn From Your Mistakes","APT","2793","330","0","0","32","2021-03-31T17:40:02Z","FASTgraphs"
"9","Pharma and Biotech Stocks On Sale: Subscriber Request Series","MRK","5345","405","3","0","36","2021-03-30T20:49:39Z","FASTgraphs"
"10","Pharma and Biotech Stocks On Sale: Subscriber Request Series","ABBV","5345","405","3","0","36","2021-03-30T20:49:39Z","FASTgraphs"
"11","Pharma and Biotech Stocks On Sale: Subscriber Request Series","BIIB","5345","405","3","0","36","2021-03-30T20:49:39Z","FASTgraphs"
"12","Pharma and Biotech Stocks On Sale: Subscriber Request Series","REGN","5345","405","3","0","36","2021-03-30T20:49:39Z","FASTgraphs"
"13","Pharma and Biotech Stocks On Sale: Subscriber Request Series","GILD","5345","405","3","0","36","2021-03-30T20:49:39Z","FASTgraphs"
"14","17 Dividend Stocks for High Retirement Income: Part 2","EPD","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"15","17 Dividend Stocks for High Retirement Income: Part 2","MMP","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"16","17 Dividend Stocks for High Retirement Income: Part 2","TRP","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"17","17 Dividend Stocks for High Retirement Income: Part 2","BTI","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"18","17 Dividend Stocks for High Retirement Income: Part 2","MO","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"19","17 Dividend Stocks for High Retirement Income: Part 2","PM","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"20","17 Dividend Stocks for High Retirement Income: Part 2","T","4747","552","3","0","31","2021-03-30T01:00:31Z","FASTgraphs"
"21","17 Dividend Stocks for High Retirement Income: Part 1","SJI","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"22","17 Dividend Stocks for High Retirement Income: Part 1","OGE","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"23","17 Dividend Stocks for High Retirement Income: Part 1","OHI","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"24","17 Dividend Stocks for High Retirement Income: Part 1","NHI","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"25","17 Dividend Stocks for High Retirement Income: Part 1","MPW","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"26","17 Dividend Stocks for High Retirement Income: Part 1","IRM","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"27","17 Dividend Stocks for High Retirement Income: Part 1","IBM","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"28","17 Dividend Stocks for High Retirement Income: Part 1","UNM","6823","578","1","0","51","2021-03-29T20:23:51Z","FASTgraphs"
"29","10 Dividend Growth Stocks to Beat The Market","ABC","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"30","10 Dividend Growth Stocks to Beat The Market","AMGN","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"31","10 Dividend Growth Stocks to Beat The Market","ANTM","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"32","10 Dividend Growth Stocks to Beat The Market","CTC.A","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"33","10 Dividend Growth Stocks to Beat The Market","LMT","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"34","10 Dividend Growth Stocks to Beat The Market","MO","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"35","10 Dividend Growth Stocks to Beat The Market","MRU","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"36","10 Dividend Growth Stocks to Beat The Market","ORCL","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"37","10 Dividend Growth Stocks to Beat The Market","OTEX","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"38","10 Dividend Growth Stocks to Beat The Market","TROW","10809","850","5","0","97","2021-03-25T21:18:13Z","FASTgraphs"
"39","Make Money With Auto Makers Now","BMWYY","2412","195","2","0","29","2021-03-23T19:59:28Z","FASTgraphs"
"40","Make Money With Auto Makers Now","DDAIF","2412","195","2","0","29","2021-03-23T19:59:28Z","FASTgraphs"
