"","snippet.title","stock_name","statistics.viewCount","statistics.likeCount","statistics.dislikeCount","statistics.favoriteCount","statistics.commentCount","snippet.publishedAt","snippet.channelTitle"
"1","⚠️  BREAKING LORDSTOWN MOTORS STOCK NEWS! - YOU NEED TO KNOW THIS! ⚠️","RIDE","12355","1186","15","0","220","2020-12-22T15:59:01Z","Jack Spencer Investing"
"2","10 REASONS TO BUY TESLA STOCK NOW! - TSLA STOCK 10X OPPORTUNITY?!","TESLA","8421","701","15","0","284","2020-07-19T13:59:08Z","Jack Spencer Investing"
"3","A NEW SPACE STOCK WITH HUGE POTENTIAL? NPA STOCK ANALYSIS.","SPACE","6934","468","22","0","162","2020-12-29T18:59:01Z","Jack Spencer Investing"
"4","ALTRIA STOCK ANALYSIS! - BEST DIVIDEND STOCK TO BUY NOW?!","MO","5691","327","13","0","141","2020-06-02T15:10:04Z","Jack Spencer Investing"
"5","AMAZING LONG TERM SPACE STOCK INVESTMENT! - MOMENTUS STOCK ANALYSIS!","SPACE","8885","715","14","0","195","2020-10-22T18:59:01Z","Jack Spencer Investing"
"6","APPLE STOCK ANALYSIS! IS AAPL STOCK A BUY? 4-1 STOCK SPLIT! Q3 EARNINGS!","APPLE","8598","686","12","0","225","2020-08-05T16:59:09Z","Jack Spencer Investing"
"7","ARK INVEST IS BUYING BIG ON THIS STOCK! *GROWTH STOCK*","LAB","43404","1626","36","0","263","2020-11-16T15:59:01Z","Jack Spencer Investing"
"8","ARK INVEST IS BUYING THIS GROWTH STOCK! IPOB STOCK! - OPENDOOR STOCK!","LAB","10989","723","15","0","121","2020-10-27T14:59:01Z","Jack Spencer Investing"
"9","ARK INVEST IS BUYING WORKHORSE STOCK AGAIN. WKHS STOCK UPDATE.","WKHS","19946","1715","52","0","655","2021-01-22T14:59:01Z","Jack Spencer Investing"
"10","ARK INVEST IS LOADING UP ON THIS PENNY STOCK. NNDM STOCK ANALYSIS!","NNDM","28669","1720","33","0","293","2020-11-21T15:59:03Z","Jack Spencer Investing"
"11","ARK INVEST JUST BOUGHT WORKHORSE STOCK! - WKHS STOCK NEWS!","WKHS","17293","1233","33","0","253","2020-11-03T15:59:03Z","Jack Spencer Investing"
"12","ARK INVEST JUST DOUBLED DOWN ON THIS PENNY STOCK! NNDM STOCK NEWS!","NNDM","12257","846","14","0","190","2020-12-29T15:59:01Z","Jack Spencer Investing"
"13","ARK INVESTING IS BUYING THIS 3D PRINTING STOCK! DESKTOP METAL STOCK.","LAB","15631","853","19","0","127","2021-01-25T18:59:03Z","Jack Spencer Investing"
"14","ARK INVESTS BIG BET ON THIS GENOMIC STOCK! CMLF STOCK ANALYSIS!","CMLF","14129","848","13","0","95","2021-02-14T16:59:01Z","Jack Spencer Investing"
"15","BEST CHEAP UNDERVALUED STOCK TO BUY NOW?! EV STOCK TO BUY NOW?!","NA","10754","558","17","0","79","2020-11-09T16:00:29Z","Jack Spencer Investing"
"16","BFT STOCK ANALYSIS - IS THIS THE NEXT SQUARE STOCK? PAYSAFE STOCK.","BFT","22193","1186","27","0","224","2020-12-08T15:59:02Z","Jack Spencer Investing"
"17","BIG CCIV STOCK NEWS! IS IT TOO LATE TO BUY LUCID MOTORS STOCK NOW?","CCIV","32006","1976","40","0","381","2021-01-23T14:59:01Z","Jack Spencer Investing"
"18","BIG HYLIION STOCK NEWS! SHLL STOCK UNDER INVESTIGATION?","HYLN","17141","1396","28","0","312","2020-08-29T13:59:02Z","Jack Spencer Investing"
"19","BIG LORDSTOWN MOTORS STOCK NEWS! - RIDE STOCK BEING SUED?","RIDE","14218","893","25","0","151","2020-11-12T15:59:01Z","Jack Spencer Investing"
"20","BIG VIRGIN GALACTIC NEWS! Q2 EARNINGS! IS SPCE STOCK A BUY NOW?!","SPCE","8464","679","9","0","183","2020-08-04T18:59:15Z","Jack Spencer Investing"
"21","BIG VIRGIN GALACTIC STOCK NEWS! - TEST FLIGHTS AND SELLING?","NA","11036","828","16","0","164","2020-12-19T16:59:01Z","Jack Spencer Investing"
"22","BIG VIRGIN GALACTIC STOCK NEWS! SPCE STOCK PRICE TARGETS!","NA","10886","719","16","0","184","2020-11-02T18:59:01Z","Jack Spencer Investing"
"23","BIG WORKHORSE STOCK MOVE SOON?! WORKHORSE STOCK NEWS - WKHS STOCK!","WKHS","25373","1840","39","0","272","2020-11-11T15:59:02Z","Jack Spencer Investing"
"24","BIG WORKHORSE STOCK NEWS - FORM S-3. - SHARE DILUTION? WKHS STOCK.","WKHS","30241","3151","79","0","438","2020-10-29T15:59:01Z","Jack Spencer Investing"
"25","BIG WORKHORSE STOCK NEWS! - USPS CONTRACT, DRONES, REFRIGERATION!","WKHS","32060","2310","33","0","516","2020-08-16T13:59:03Z","Jack Spencer Investing"
"26","BIG WORKHORSE STOCK NEWS! - USPS NEWS! INSIDER SELLING? WKHS STOCK","WKHS","30133","2256","42","0","533","2020-08-21T15:59:06Z","Jack Spencer Investing"
"27","BIG WORKHORSE STOCK PRICE PREDICTION. USPS CONTRACT DELAY OFFICIAL.","WKHS","22792","1587","31","0","326","2020-12-03T15:59:01Z","Jack Spencer Investing"
"28","BILLIONAIRE BACKED CLOUD SPAC - IS IT A STOCK TO BUY NOW? WPF STOCK.","A","11447","620","11","0","78","2020-12-21T17:59:01Z","Jack Spencer Investing"
"29","BLINK STOCK ANALYSIS! IS BLNK STOCK THE FUTURE OF EV CHARGING?","BLINK","11150","781","11","0","240","2020-07-30T15:59:09Z","Jack Spencer Investing"
"30","BLNK STOCK MANIPULATION?! BUY SELL OR HOLD BLINK CHARGING STOCK?!","BLNK","16935","1266","12","0","238","2020-08-23T13:59:05Z","Jack Spencer Investing"
"31","BLUE LAGOON STOCK ANALYSIS - GOLD MINING PENNY STOCK! - BLLG STOCK.","BLLG","9249","452","55","0","178","2020-12-09T15:59:01Z","Jack Spencer Investing"
"32","BOEING STOCK VS. AIRBUS STOCK! - BEST STOCK TO BUY NOW?","BA","3055","107","9","0","65","2020-04-28T16:24:48Z","Jack Spencer Investing"
"33","BUY LORDSTOWN MOTORS STOCK NOW?! HUGE RIDE STOCK NEWS!","RIDE","16707","1405","31","0","212","2020-12-16T15:59:01Z","Jack Spencer Investing"
"34","BUYING MY FIRST HOUSE AT 21? MY PLANS FOR BODYBUILDING.. WHAT HAPPENS NEXT?","LAB","411","39","3","0","4","2019-05-31T09:58:18Z","Jack Spencer Investing"
"35","CAN CCIV STOCK GO TO $100? CCIV STOCK UPDATES!","CCIV","16508","1149","24","0","240","2021-02-17T14:59:01Z","Jack Spencer Investing"
"36","CAN HCMC STOCK REALLY 250X AND HIT $1?! HCMC STOCK UPDATES!","HCMC","73808","3660","56","0","1104","2021-02-15T16:59:01Z","Jack Spencer Investing"
"37","CARNIVAL CRUISE STOCK VS. DELTA AIRLINES STOCK. WHICH STOCK TO BUY?","CCL","2162","87","2","0","38","2020-04-19T15:03:07Z","Jack Spencer Investing"
"38","CCIV STOCK MERGER COULD HAPPEN ON TUESDAY?! CCIV STOCK NEWS!","CCIV","26683","1759","36","0","499","2021-02-21T14:59:01Z","Jack Spencer Investing"
"39","CHEK STOCK UP 300%, IS IT TOO LATE TO BUY?! THE NEXT BNGO STOCK?!","CHEK","8230","503","15","0","175","2021-01-05T14:59:01Z","Jack Spencer Investing"
"40","CLEANSPARK STOCK ANALYSIS! THE FUTURE OF ENERGY. BUY CLSK STOCK?!","CLSK","12124","896","15","0","182","2020-07-29T18:59:30Z","Jack Spencer Investing"
"41","DELTA AIRLINES STOCK (DAL) Q2 EARNINGS! - TOO LATE TO BUY CCL STOCK?","AAL","6483","425","7","0","129","2020-07-15T16:59:07Z","Jack Spencer Investing"
"42","DID ARK INVEST JUST SELL WORKHORSE STOCK? KIND OF.. WKHS STOCK NEWS.","WKHS","36228","2020","60","0","520","2020-10-26T16:59:01Z","Jack Spencer Investing"
"43","EVERYTHING YOU NEED TO KNOW ABOUT HYLIION STOCK! - SHLL STOCK ANALYSIS","SHLL","18228","1405","16","0","390","2020-07-25T13:59:07Z","Jack Spencer Investing"
"44","EVERYTHING YOU NEED TO KNOW ABOUT WORKHORSE STOCK - WKHS STOCK NEWS","WKHS","18947","1844","20","0","337","2020-08-30T16:59:01Z","Jack Spencer Investing"
"45","EXCLUSIVE INTERVIEW WITH WORKHORSE CFO PART 2! WKHS STOCK NEWS!","WKHS","20556","2285","17","0","488","2020-09-02T15:59:01Z","Jack Spencer Investing"
"46","EXCLUSIVE WORKHORSE CFO INTERVIEW! - BIG WORKHORSE STOCK NEWS!","WKHS","31944","2494","43","0","541","2020-11-14T15:59:01Z","Jack Spencer Investing"
