"","snippet.title","stock_name","statistics.viewCount","statistics.likeCount","statistics.dislikeCount","statistics.favoriteCount","statistics.commentCount","snippet.publishedAt","snippet.channelTitle"
"1","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","ROKU","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"2","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","TSM","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"3","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","TSLA","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"4","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","CPNG","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"5","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","V","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"6","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","CPNG","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"7","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","CRWD","13151","812","19","0","468","2021-04-01T13:15:10Z","Paul NGumah"
"8","THIS STOCK IS ABOUT TO GO PARABOLIC!🔥","AMAT","10775","834","14","0","286","2021-04-01T02:36:57Z","Paul NGumah"
"9","THIS STOCK IS ABOUT TO GO PARABOLIC!🔥","TSLA","10775","834","14","0","286","2021-04-01T02:36:57Z","Paul NGumah"
"10","THIS STOCK IS ABOUT TO GO PARABOLIC!🔥","NIO","10775","834","14","0","286","2021-04-01T02:36:57Z","Paul NGumah"
"11","THIS STOCK IS ABOUT TO GO PARABOLIC!🔥","QS","10775","834","14","0","286","2021-04-01T02:36:57Z","Paul NGumah"
"12","THIS STOCK IS ABOUT TO GO PARABOLIC!🔥","EA","10775","834","14","0","286","2021-04-01T02:36:57Z","Paul NGumah"
"13","THIS STOCK IS ABOUT TO GO PARABOLIC!🔥","CPNG","10775","834","14","0","286","2021-04-01T02:36:57Z","Paul NGumah"
"14","2 STOCKS SET TO EXPLODE!🔥","CHWY","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"15","2 STOCKS SET TO EXPLODE!🔥","CRSR","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"16","2 STOCKS SET TO EXPLODE!🔥","LMND","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"17","2 STOCKS SET TO EXPLODE!🔥","TSLA","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"18","2 STOCKS SET TO EXPLODE!🔥","NCLH","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"19","2 STOCKS SET TO EXPLODE!🔥","HD","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"20","2 STOCKS SET TO EXPLODE!🔥","AMC","9888","672","9","0","214","2021-03-31T13:15:01Z","Paul NGumah"
"21","THIS STOCK IS BREAKING OUT!🚀","X","10921","806","14","0","247","2021-03-31T02:18:30Z","Paul NGumah"
"22","THIS STOCK IS BREAKING OUT!🚀","OXY","10921","806","14","0","247","2021-03-31T02:18:30Z","Paul NGumah"
"23","THIS STOCK IS BREAKING OUT!🚀","DISH","10921","806","14","0","247","2021-03-31T02:18:30Z","Paul NGumah"
"24","THIS STOCK IS BREAKING OUT!🚀","EH","10921","806","14","0","247","2021-03-31T02:18:30Z","Paul NGumah"
"25","THIS STOCK IS BREAKING OUT!🚀","FVRR","10921","806","14","0","247","2021-03-31T02:18:30Z","Paul NGumah"
"26","THIS STOCK IS BREAKING OUT!🚀","DKNG","10921","806","14","0","247","2021-03-31T02:18:30Z","Paul NGumah"
"27","THIS STOCK IS ABOUT TO GO CRAZY TOMORROW!🚀","WMT","16241","987","19","0","564","2021-03-30T02:32:22Z","Paul NGumah"
"28","THIS STOCK IS ABOUT TO GO CRAZY TOMORROW!🚀","VUZI","16241","987","19","0","564","2021-03-30T02:32:22Z","Paul NGumah"
"29","THIS STOCK IS ABOUT TO GO CRAZY TOMORROW!🚀","JMIA","16241","987","19","0","564","2021-03-30T02:32:22Z","Paul NGumah"
"30","THIS STOCK IS ABOUT TO GO CRAZY TOMORROW!🚀","CRWD","16241","987","19","0","564","2021-03-30T02:32:22Z","Paul NGumah"
"31","THIS STOCK IS ABOUT TO GO CRAZY TOMORROW!🚀","DIS","16241","987","19","0","564","2021-03-30T02:32:22Z","Paul NGumah"
"32","THIS STOCK IS ABOUT TO GO CRAZY TOMORROW!🚀","FB","16241","987","19","0","564","2021-03-30T02:32:22Z","Paul NGumah"
"33","TOP 3 STOCKS TO BUY NOW🔥","FB","11713","724","15","0","339","2021-03-29T13:14:59Z","Paul NGumah"
"34","TOP 3 STOCKS TO BUY NOW🔥","RIOT","11713","724","15","0","339","2021-03-29T13:14:59Z","Paul NGumah"
"35","TOP 3 STOCKS TO BUY NOW🔥","SQ","11713","724","15","0","339","2021-03-29T13:14:59Z","Paul NGumah"
"36","TOP 3 STOCKS TO BUY NOW🔥","CRWD","11713","724","15","0","339","2021-03-29T13:14:59Z","Paul NGumah"
"37","TOP 3 STOCKS TO BUY NOW🔥","RKT","11713","724","15","0","339","2021-03-29T13:14:59Z","Paul NGumah"
"38","TOP 3 STOCKS TO BUY NOW🔥","BIGC","11713","724","15","0","339","2021-03-29T13:14:59Z","Paul NGumah"
"39","THIS STOCK IS ABOUT TO EXPLODE!🚀 BUY ASAP!","OXY","17911","1032","17","0","536","2021-03-27T23:56:58Z","Paul NGumah"
"40","THIS STOCK IS ABOUT TO EXPLODE!🚀 BUY ASAP!","CYH","17911","1032","17","0","536","2021-03-27T23:56:58Z","Paul NGumah"
"41","THIS STOCK IS ABOUT TO EXPLODE!🚀 BUY ASAP!","CHWY","17911","1032","17","0","536","2021-03-27T23:56:58Z","Paul NGumah"
"42","THIS STOCK IS ABOUT TO EXPLODE!🚀 BUY ASAP!","V","17911","1032","17","0","536","2021-03-27T23:56:58Z","Paul NGumah"
"43","THIS STOCK IS ABOUT TO EXPLODE!🚀 BUY ASAP!","CRSR","17911","1032","17","0","536","2021-03-27T23:56:58Z","Paul NGumah"
"44","THIS STOCK IS ABOUT TO EXPLODE!🚀 BUY ASAP!","PTON","17911","1032","17","0","536","2021-03-27T23:56:58Z","Paul NGumah"
"45","TOP 3 STOCKS TO BUY IMMEDIATELY!🔥","TGT","15515","922","19","0","463","2021-03-26T13:17:22Z","Paul NGumah"
"46","TOP 3 STOCKS TO BUY IMMEDIATELY!🔥","UAL","15515","922","19","0","463","2021-03-26T13:17:22Z","Paul NGumah"
"47","TOP 3 STOCKS TO BUY IMMEDIATELY!🔥","RIOT","15515","922","19","0","463","2021-03-26T13:17:22Z","Paul NGumah"
"48","TOP 3 STOCKS TO BUY IMMEDIATELY!🔥","GME","15515","922","19","0","463","2021-03-26T13:17:22Z","Paul NGumah"
"49","TOP 3 STOCKS TO BUY IMMEDIATELY!🔥","AI","15515","922","19","0","463","2021-03-26T13:17:22Z","Paul NGumah"
"50","TOP 3 STOCKS TO BUY IMMEDIATELY!🔥","NIO","15515","922","19","0","463","2021-03-26T13:17:22Z","Paul NGumah"
"51","THIS STOCK IS ABOUT TO GO PARABOLIC!🚀BUY ASAP","MMM","14840","1057","20","0","308","2021-03-26T02:10:44Z","Paul NGumah"
"52","THIS STOCK IS ABOUT TO GO PARABOLIC!🚀BUY ASAP","WM","14840","1057","20","0","308","2021-03-26T02:10:44Z","Paul NGumah"
"53","THIS STOCK IS ABOUT TO GO PARABOLIC!🚀BUY ASAP","VIAC","14840","1057","20","0","308","2021-03-26T02:10:44Z","Paul NGumah"
"54","THIS STOCK IS ABOUT TO GO PARABOLIC!🚀BUY ASAP","QDEL","14840","1057","20","0","308","2021-03-26T02:10:44Z","Paul NGumah"
"55","THIS STOCK IS ABOUT TO GO PARABOLIC!🚀BUY ASAP","NNDM","14840","1057","20","0","308","2021-03-26T02:10:44Z","Paul NGumah"
"56","THIS STOCK IS ABOUT TO GO PARABOLIC!🚀BUY ASAP","RIDE","14840","1057","20","0","308","2021-03-26T02:10:44Z","Paul NGumah"
"57","TOP 2 STOCKS TO BUY NOW!🔥","AMTX","12761","750","19","0","304","2021-03-25T13:21:26Z","Paul NGumah"
"58","TOP 2 STOCKS TO BUY NOW!🔥","VIAC","12761","750","19","0","304","2021-03-25T13:21:26Z","Paul NGumah"
"59","TOP 2 STOCKS TO BUY NOW!🔥","RKT","12761","750","19","0","304","2021-03-25T13:21:26Z","Paul NGumah"
"60","TOP 2 STOCKS TO BUY NOW!🔥","CRWD","12761","750","19","0","304","2021-03-25T13:21:26Z","Paul NGumah"
"61","TOP 2 STOCKS TO BUY NOW!🔥","CHPT","12761","750","19","0","304","2021-03-25T13:21:26Z","Paul NGumah"
"62","TOP 3 STOCKS TO BUY NOW!🔥","BA","16160","793","24","0","375","2021-03-24T13:11:57Z","Paul NGumah"
"63","TOP 3 STOCKS TO BUY NOW!🔥","RIOT","16160","793","24","0","375","2021-03-24T13:11:57Z","Paul NGumah"
"64","TOP 3 STOCKS TO BUY NOW!🔥","WM","16160","793","24","0","375","2021-03-24T13:11:57Z","Paul NGumah"
"65","TOP 3 STOCKS TO BUY NOW!🔥","DISCA","16160","793","24","0","375","2021-03-24T13:11:57Z","Paul NGumah"
"66","TOP 3 STOCKS TO BUY NOW!🔥","VIAC","16160","793","24","0","375","2021-03-24T13:11:57Z","Paul NGumah"
"67","THIS STOCK IS GOING PARABOLIC!!🔥🔥🔥 SHORT IT.","AMTX","11189","654","12","0","323","2021-03-24T02:12:59Z","Paul NGumah"
"68","THIS STOCK IS GOING PARABOLIC!!🔥🔥🔥 SHORT IT.","GME","11189","654","12","0","323","2021-03-24T02:12:59Z","Paul NGumah"
"69","THIS STOCK IS GOING PARABOLIC!!🔥🔥🔥 SHORT IT.","WBA","11189","654","12","0","323","2021-03-24T02:12:59Z","Paul NGumah"
"70","THIS STOCK IS GOING PARABOLIC!!🔥🔥🔥 SHORT IT.","IQ","11189","654","12","0","323","2021-03-24T02:12:59Z","Paul NGumah"
"71","THIS STOCK IS GOING PARABOLIC!!🔥🔥🔥 SHORT IT.","EBON","11189","654","12","0","323","2021-03-24T02:12:59Z","Paul NGumah"
"72","THIS STOCK IS GOING PARABOLIC!!🔥🔥🔥 SHORT IT.","SPWR","11189","654","12","0","323","2021-03-24T02:12:59Z","Paul NGumah"
"73","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","RIOT","15635","551","13","0","335","2021-03-23T13:22:40Z","Paul NGumah"
"74","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","DISCA","15635","551","13","0","335","2021-03-23T13:22:40Z","Paul NGumah"
"75","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","VIAC","15635","551","13","0","335","2021-03-23T13:22:40Z","Paul NGumah"
"76","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","UPST","15635","551","13","0","335","2021-03-23T13:22:40Z","Paul NGumah"
"77","TOP 2 STOCKS TO BUY IMMEDIATELY!🔥","FUBO","15635","551","13","0","335","2021-03-23T13:22:40Z","Paul NGumah"
"78","THIS STOCK IS ABOUT TO GO CRAZY!🚀","CSIQ","12329","740","14","0","401","2021-03-23T02:04:22Z","Paul NGumah"
"79","THIS STOCK IS ABOUT TO GO CRAZY!🚀","CRIS","12329","740","14","0","401","2021-03-23T02:04:22Z","Paul NGumah"
"80","THIS STOCK IS ABOUT TO GO CRAZY!🚀","AAPL","12329","740","14","0","401","2021-03-23T02:04:22Z","Paul NGumah"
"81","THIS STOCK IS ABOUT TO GO CRAZY!🚀","CCIV","12329","740","14","0","401","2021-03-23T02:04:22Z","Paul NGumah"
"82","THIS STOCK IS ABOUT TO GO CRAZY!🚀","V","12329","740","14","0","401","2021-03-23T02:04:22Z","Paul NGumah"
"83","THIS STOCK IS ABOUT TO GO CRAZY!🚀","PLTR","12329","740","14","0","401","2021-03-23T02:04:22Z","Paul NGumah"
"84","TOP 3 STOCKS TO BUY NOW!🔥","FSLY","15242","638","14","0","333","2021-03-22T13:15:01Z","Paul NGumah"
"85","TOP 3 STOCKS TO BUY NOW!🔥","PLTR","15242","638","14","0","333","2021-03-22T13:15:01Z","Paul NGumah"
